English Comments,Translate Comments
if you sometimes like to go to the movies to have fun wasabi is good place to start,አንዳንድ ጊዜ ለመዝናናት ወደ ፊልሞች መሄድ ከፈለጉ ዋሳቢ ለመጀመር ጥሩ ቦታ ነው
ultimately it ponders the reasons we need stories so much,በመጨረሻም ታሪኮችን በጣም የምንፈልግባቸዉን ምክንያቶች ያሳስባል
though it is by no means his best work laissez passer is distinguished and distinctive effort by bona fide master fascinating film replete with rewards to be had by all willing to make the effort to reap them,ምንም እንኳን በምንም መንገድ የእሱ ምርጥ ሥራ ላስሴዝ ፓሰር ሆኖ ቢለይም በቅን ልቦና የተዋጣለት ፊልም በመለየት እና ልዩ ጥረት በማድረግ የተካኑ ናቸው ፡፡
may be spoofing an easy target those old 50 giant creature features but it acknowledges and celebrates their cheesiness as the reason why people get kick out of watching them today,እነዚያን ያረጁ 50 ግዙፍ ፍጡራን ባህሪዎች ቀላል ዒላማ እያደረገ ሊሆን ይችላል ነገር ግን ሰዎች ዛሬ እነሱን ከመመልከት የሚባረሩበት ምክንያት እንደ ደስታቸው እውቅና ይሰጣል እናም ያከብራቸዋል ፡፡
you think by now america would have had enough of plucky british eccentrics with hearts of altin yet the act is still charming here,እስከ አሁን አሜሪካ የአልቲንን ልብ ያደጉ የብሪታንያ ኢኳንቲካዎች ይበቃቸው ነበር ብለው ያስባሉ ሆኖም ትወናዉ አሁንም እዚህ አስደሳች ነው
the animated subplot keenly depicts the inner struggles of our adolescent heroes insecure uncontrolled and intense,የታነመ ንዑስ ሴራ በጉርምስና ዕድሜ ላይ የሚገኙትን ጀግኖቻችንን ውስጣዊ ተጋድሎዎች ከቁጥጥር ውጭ የሆነ እና ከባድ እንደሆኑ ያሳያል
morton is great actress portraying complex character but morvern callar grows less compelling the farther it meanders from its shocking start,የተወለደው ገጸ-ባህሪ ውስብስብ ገጸ-ባህሪን የሚያሳይ ታላቅ ተዋናይ ነው ፣ ግን ከሌሊቱ ደወለ አስደንጋጭ ጅማሬ አንፃር የሚመጣውን ያህል አሳማኝ አይሆንም ፡፡
painful to watch but viewers willing to take chance will be rewarded with two of the year most accomplished and riveting film performances,ለመመልከት ህመም የሚሰማው ነገር ግን ዕድልን ለመጠቀም ፈቃደኛ የሆኑ ተመልካቾች በዓመቱ ውስጥ በጣም በተጠናቀቁ እና በተደሰቱ ሁለት የፊልም ዝግጅቶች ሽልማት ያገኛሉ
writer director burger imaginatively fans the embers of dormant national grief and curiosity that has calcified into chronic cynicism and fear,ጸሐፊ ዳይሬክተር በርገር በዓይነ ሕሊናቸው ወደ ሥር የሰደደ ኩርፊያ እና ፍርሃት የተዛወረውን የተኛ ብሄራዊ ሀዘን እና የማወቅ ጉጉት በአድናቆት ይደግፋሉ ፡፡
it might be tempting to regard mr andrew and his collaborators as oddballs but mr earnhart quizzical charming movie allows us to see them finally as artists,አቶ አንድሬ እና ግብረአበሮቹን እንደ እንግዳ ኳስ ለመቁጠር ፈታኝ ሊሆን ይችላል ነገር ግን ሚር ገቢር የኪነ-ጥበብ ማራኪ ፊልም በመጨረሻ እንደ አርቲስቶች እንድንመለከት ያደርገናል ፡፡
an original gem about an obsession with time,ከጊዜ ጋር ስላለ አባዜ የሚያሳይ ትክክለኛ  ዕንቁ
it minor comedy that tries to balance sweetness with coarseness while it paints sad picture of the singles scene,የነጠላዎችን ትዕይንት የሚያሳዝን ምስል በሚስልበት ጊዜ ጣፋጭነትን ከሸረሸርነት ጋር ሚዛን ለመጠበቅ የሚሞክር ጥቃቅን አስቂኝ ነው
more load of enjoyable conan esque claptrap than the punishing special effects soul assaults the mummy pictures represent,የእናትዪዋ ሥዕሎች ከሚወክሉት ልዩ ውጤቶች ከሚያስቀጡት ልዩ ውጤቶች የበለጠ አስደሳች የኮን እስክ ክላፕራፕ የበለጠ ጭነት
must be seen to be believed,ለመታመን መታየት አለበት
if you can get past the fantastical aspects and harsh realities of the isle you ll get sock you in the eye flick that is visual tour de force and story that is unlike any you will likely see anywhere else,የደሴቲቱን አስደናቂ ገጽታዎች እና አስከፊ እውነታዎች ማለፍ ከቻሉ በምስላዊ ጉብኝት እና በየትኛውም ከማንኛውም የማይመስል ታሪክ ውስጥ በአይን ብልጭልጭ ውስጥ ይንከባከቡዎታል ፡፡
there enough science to make it count as educational and enough beauty to make it unforgettable,የማይረሳ ለማድረግ እንደ ትምህርታዊ እና በቂ ውበት እንዲቆጠር ለማድረግ በቂ ሳይንስ አለ
engagingly captures the maddening and magnetic ebb and flow of friendship,የጓደኝነትን እብደት እና ማግኔቲክ ኢቢብ እና ፍሰት ይሳተፋል
admired this work lot,ይህንን ሥራ በጣም አድንቆታል
